tid,chinese,english,japanese
Flowers and Fishes,花与鱼,Flowers and Fishes,Flowers and Fishes
Champagne Bridge,香槟桥,Champagne Bridge,Champagne Bridge
Dance Of The Golden Snake 2,金蛇狂舞 2,Dance Of The Golden Snake 2,Dance Of The Golden Snake 2
Star Clock,星星钟,Star Clock,Star Clock
Indian Dreams,印第安之梦,Indian Dreams,Indian Dreams
British Hunters,英国猎人,British Hunters,British Hunters
Double tile,双黑块竞技场,Double tile challenge,ダブルブラックタイルチャレンジ
Combo tile,狂戳块竞技场,Combo tile challenge,エンドレスタイルチャレンジ
Single tile,单黑块竞技场,Single tile challenge,シングルタイルチャレンジ
Classic,经典竞技场,Classic challenge,クラシックチャレンジ
Polka,波尔卡舞曲,Polka,ポルカ舞曲
